Hyperlink ,Redshift ,,,SFRD,Statistical Error,,Systematic Error,,AGN ,,Indicator,Extinction,Explanation,Std. Calibration Factors,,Cosmology Assumptions,,,Notes
,z,min,max,(Msun*yr^−1*Mpc^−3),(+) ẟ,(-) ẟ,(+) ẟ,(-) ẟ,(+) ẟ,(-) ẟ,,,,Metallicity,IMF,H0,Ωm,ΩΛ ,
,0.4,,,0.034,0.014,0.014,,,Y,,Gamma rays,Y,Fermi LAT Collab 2018,N,Chabrier,70,0.3,0.7,flagged for multiple dust extinction methods used
,0.5,,,0.042,0.014,0.015,,,Y,,Gamma rays,Y,Fermi LAT Collab 2018,N,Chabrier,70,0.3,0.7,flagged for multiple dust extinction methods used
,0.6,,,0.05,0.0140,0.0150,,,Y,,Gamma rays,Y,Fermi LAT Collab 2018,N,Chabrier,70,0.3,0.7,flagged for multiple dust extinction methods used
,0.8,,,0.068,0.015,0.014,,,Y,,Gamma rays,Y,Fermi LAT Collab 2018,N,Chabrier,70,0.3,0.7,flagged for multiple dust extinction methods used
,1,,,0.085,0.016,0.013,,,Y,,Gamma rays,Y,Fermi LAT Collab 2018,N,Chabrier,70,0.3,0.7,flagged for multiple dust extinction methods used
,1.2,,,0.100,0.021,0.015,,,Y,,Gamma rays,Y,Fermi LAT Collab 2018,N,Chabrier,70,0.3,0.7,flagged for multiple dust extinction methods used
,1.4,,,0.110,0.023,0.018,,,Y,,Gamma rays,Y,Fermi LAT Collab 2018,N,Chabrier,70,0.3,0.7,flagged for multiple dust extinction methods used
,1.6,,,0.113,0.029,0.020,,,Y,,Gamma rays,Y,Fermi LAT Collab 2018,N,Chabrier,70,0.3,0.7,flagged for multiple dust extinction methods used
,1.8,,,0.110,0.031,0.020,,,Y,,Gamma rays,Y,Fermi LAT Collab 2018,N,Chabrier,70,0.3,0.7,flagged for multiple dust extinction methods used
,2,,,0.104,0.030,0.019,,,Y,,Gamma rays,Y,Fermi LAT Collab 2018,N,Chabrier,70,0.3,0.7,flagged for multiple dust extinction methods used
Lopez Fernández et al. 2019,0,,,0.009,0.0130,0.0050,,,N,,UV,Y,Wyder et al. 2007 + Stoughton et al. 2002 + Calzetti et al. 2000,N,Chabrier,70,0.3,0.7,non standard extiction method and IMF
,1,,,0.041,0.0150,0.0110,,,N,,UV,Y,Wyder et al. 2007 + Stoughton et al. 2002 + Calzetti et al. 2000,N,Chabrier,70,0.3,0.7,non standard extiction method and IMF
,2,,,0.046,0.0080,0.0070,,,N,,UV,Y,Wyder et al. 2007 + Stoughton et al. 2002 + Calzetti et al. 2000,N,Chabrier,70,0.3,0.7,non standard extiction method and IMF
Sanchez et al. 2019,0.03,,,0.008,0.0080,0.0040,,,N,,H_alpha,Y,Cardelli et al. 1989,Y,Sal,71,0.27,0.73,
,0.04,,,0.016,0.0150,0.0080,,,N,,H_alpha,Y,Cardelli et al. 1989,Y,Sal,71,0.27,0.73,
,0.1,,,0.02,0.0140,0.0080,,,N,,H_alpha,Y,Cardelli et al. 1989,Y,Sal,71,0.27,0.73,
,0.15,,,0.025,0.0140,0.0090,,,N,,H_alpha,Y,Cardelli et al. 1989,Y,Sal,71,0.27,0.73,
,0.2,,,0.028,0.0140,0.0100,,,N,,H_alpha,Y,Cardelli et al. 1989,Y,Sal,71,0.27,0.73,
,0.25,,,0.032,0.0150,0.0100,,,N,,H_alpha,Y,Cardelli et al. 1989,Y,Sal,71,0.27,0.73,
,0.3,,,0.033,0.0260,0.0140,,,N,,H_alpha,Y,Cardelli et al. 1989,Y,Sal,71,0.27,0.73,
,0.36,,,0.035,0.0380,0.0180,,,N,,H_alpha,Y,Cardelli et al. 1989,Y,Sal,71,0.27,0.73,
,0.42,,,0.041,0.0280,0.0170,,,N,,H_alpha,Y,Cardelli et al. 1989,Y,Sal,71,0.27,0.73,
,0.49,,,0.047,0.0210,0.0140,,,N,,H_alpha,Y,Cardelli et al. 1989,Y,Sal,71,0.27,0.73,
,0.6,,,0.069,0.0330,0.0220,,,N,,H_alpha,Y,Cardelli et al. 1989,Y,Sal,71,0.27,0.73,
,0.71,,,0.089,0.0430,0.0290,,,N,,H_alpha,Y,Cardelli et al. 1989,Y,Sal,71,0.27,0.73,
,0.9,,,0.129,0.0620,0.0420,,,N,,H_alpha,Y,Cardelli et al. 1989,Y,Sal,71,0.27,0.73,
,1.09,,,0.17,0.0810,0.0550,,,N,,H_alpha,Y,Cardelli et al. 1989,Y,Sal,71,0.27,0.73,
,1.5,,,0.145,0.0790,0.0510,,,N,,H_alpha,Y,Cardelli et al. 1989,Y,Sal,71,0.27,0.73,
,1.92,,,0.120,0.0750,0.0460,,,N,,H_alpha,Y,Cardelli et al. 1989,Y,Sal,71,0.27,0.73,
Upjohn et al. 2019,,0.1,0.35,0.0190,0.0020,0.0020,,,N,,Radio,N,,Y,Sal,69.32,0.29,0.71,non standard extinction method
,,0.35,0.6,0.0340,0.0030,0.0030,,,N,,Radio,N,,Y,Sal,69.32,0.29,0.71,non standard extinction method
,,0.6,0.9,0.0650,0.0040,0.0040,,,N,,Radio,N,,Y,Sal,69.32,0.29,0.71,non standard extinction method
,,0.9,1.3,0.1040,0.0050,0.0060,,,N,,Radio,N,,Y,Sal,69.32,0.29,0.71,non standard extinction method
Bellstedt et al. 2020,0.06,,,0.0096,0.0030,0.0020,,,N,,FUV to IR,"Y, Robotham et al. 2020",Other,N,Chabrier,67.8,0.308,0.692,"non standard extiction method and IMF, only measurement with error"
,0.07,,,0.0100,,,,,N,,FUV to IR,"Y, Robotham et al. 2020",Other,N,Chabrier,67.8,0.308,0.692,non standard extiction method and IMF
,0.09,,,0.01100,,,,,N,,FUV to IR,"Y, Robotham et al. 2020",Other,N,Chabrier,67.8,0.308,0.692,non standard extiction method and IMF
,0.1,,,0.01100,,,,,N,,FUV to IR,"Y, Robotham et al. 2020",Other,N,Chabrier,67.8,0.308,0.692,non standard extiction method and IMF
,0.12,,,0.01200,,,,,N,,FUV to IR,"Y, Robotham et al. 2020",Other,N,Chabrier,67.8,0.308,0.692,non standard extiction method and IMF
,0.14,,,0.01300,,,,,N,,FUV to IR,"Y, Robotham et al. 2020",Other,N,Chabrier,67.8,0.308,0.692,non standard extiction method and IMF
,0.15,,,0.01300,,,,,N,,FUV to IR,"Y, Robotham et al. 2020",Other,N,Chabrier,67.8,0.308,0.692,non standard extiction method and IMF
Gruppioni et al. 2020,,0.5,1.5,0.0793,0.0627,0.0274,,,N,,IR,Y,Arnouts et al. 2002 + Ilbert et al. 2006,N,Chabrier,70,0.3,0.7,Good for comparing SFRD measurements
,,1.5,2.5,0.0996,0.0944,0.0432,,,N,,IR,Y,Arnouts et al. 2002 + Ilbert et al. 2006,N,Chabrier,70,0.3,0.7,
Khostovan et al. 2020,0.47,,,0.0190,0.0020,0.0020,,,Y,,H_alpha,Y,"Calzetti et al. 2000, AH_alpha = 1",Y,Sal,70,0.3,0.7,
,0.93,,,0.0490,0.0070,0.0060,,,Y,,O[III],Y,Khostovan et al. 2000,Y,Sal,70,0.3,0.7,non standard extinction method
,1.59,,,0.1660,0.0430,0.0340,,,Y,,O[II],Y,Khostovan et al. 2000,Y,Sal,70,0.3,0.7,
Vilella-Rojo et al. 2021,0.0012,0.001,0.0017,0.0080,0.0023,0.0018,,,"Y, AGNs excluded",,H_alpha,Y,Calzetti et al. 2000 + Green et al. 2018 + Whitten et al. 2019,Y,Sal,70,0.3,0.7,Non standard extinction method
Yan et al. 2022,1.74,1.72,1.8,0.0900,0.0030,0.0040,,,N,,Optical to IR,"Y host, Kennicutt 1998",Other,N,Chabrier,67.6,0.315,0.685,
Cochrane et al. 2023,,0.1,0.4,0.0230,0.0010,0.0010,,,"Y, AGNs excluded",,Radio,N,,N,Chabrier,70,0.3,0.7,
,,0.4,0.6,0.0400,0.0040,0.0040,,,"Y, AGNs excluded",,Radio,N,,N,Chabrier,70,0.3,0.7,
,,0.6,0.8,0.0590,0.0060,0.0060,,,"Y, AGNs excluded",,Radio,N,,N,Chabrier,70,0.3,0.7,
,,0.8,1,0.0530,0.0050,0.0050,,,"Y, AGNs excluded",,Radio,N,,N,Chabrier,70,0.3,0.7,
,,1,1.3,0.069,0.007,0.007,,,"Y, AGNs excluded",,Radio,N,,N,Chabrier,70,0.3,0.7,
,,1.3,1.6,0.079,0.018,0.018,,,"Y, AGNs excluded",,Radio,N,,N,Chabrier,70,0.3,0.7,
,,1.6,2,0.111,0.017,0.017,,,"Y, AGNs excluded",,Radio,N,,N,Chabrier,70,0.3,0.7,
Bellstedt et al. 2023,,0.07,9.6,,,,,,N,,UVOIR,N,,Y,Unknown,67.8,0.308,0.692,"Find full table online, in paper"
